timestep,episode,fps,elapsed_time,ep_len_mean,ep_rew_mean,train/loss,train/learning_rate,train/n_updates,rollout/exploration_rate,time/total_timesteps
5000,0,244.8603457866366,20.41980290412903,0,0,0,0,0,0.9877524500000001,5000
10000,0,240.94356265338934,41.50349521636963,0,0,0.00020340686751296744,0.0002,2498,0.97550245,10000
15000,0,243.9187696393008,61.495882511138916,0,0,0.0002637952784425579,0.0002,4998,0.96325245,15000
20000,0,240.35404048206186,83.21058368682861,0,0,0.0006792000349378213,0.0002,7498,0.95100245,20000
25000,0,241.54783117494296,103.49916982650757,0,0,0.0011465861462056637,0.0002,9998,0.9387524500000001,25000
30000,0,243.40323062974093,123.25226712226868,0,0,0.0011651667300611734,0.0002,12498,0.92650245,30000
35000,0,241.9205608588003,144.67559051513672,0,0,0.0013466409436659887,0.0002,14998,0.91425245,35000
40000,0,240.38080735510582,166.40263605117798,0,0,0.07544172264169902,0.0002,17498,0.90200245,40000
45000,0,239.95827934854069,187.53259992599487,0,0,0.0011119127157144248,0.0002,19998,0.88975245,45000
50000,0,237.26302952558558,210.7365825176239,0,0,0.002903044631239027,0.0002,22498,0.8775024499999999,50000
55000,0,237.2658925071096,231.8074436187744,0,0,0.07763616170268506,0.0002,24998,0.86525245,55000
60000,0,235.50193672547434,254.77497482299805,0,0,0.000839923566672951,0.0002,27498,0.85300245,60000
65000,0,234.57416602845754,277.0978624820709,0,0,0.0034997044131159782,0.0002,29998,0.84075245,65000
70000,0,234.40275780156978,298.6312987804413,0,0,0.0018582698539830744,0.0002,32498,0.8285024499999999,70000
75000,0,235.53002337422814,318.4307415485382,0,0,0.0006759508687537163,0.0002,34998,0.8162524499999999,75000
80000,0,234.87140610986836,340.61191749572754,0,0,0.0015487084747292101,0.0002,37498,0.8040024499999999,80000
85000,0,234.7224101490867,362.1298875808716,0,0,0.07954672153573483,0.0002,39998,0.7917524499999999,85000
90000,0,234.6121877541436,383.6117844581604,0,0,0.0012734512274619192,0.0002,42498,0.7795024500000002,90000
95000,0,234.07867234753144,405.84645771980286,0,0,0.005413110367953777,0.0002,44998,0.7672524499999999,95000
100000,0,234.2290951152205,426.932443857193,0,0,0.002126036211848259,0.0002,47498,0.7550024500000001,100000
105000,0,221.99354410504853,472.9867277145386,0,0,0.002147914085071534,0.0002,49998,0.7427524500000001,105000
110000,0,223.1214400630204,493.00506472587585,0,0,0.0026473880279809237,0.0002,52498,0.7305024500000001,110000
115000,0,223.78720757304973,513.8810267448425,0,0,0.002347353845834732,0.0002,54998,0.7182524500000002,115000
120000,0,224.45134006427529,534.6370396614075,0,0,0.002451812324579805,0.0002,57498,0.7060024500000002,120000
125000,0,224.97360940803068,555.6207251548767,0,0,0.00471750320866704,0.0002,59998,0.6937524500000001,125000
130000,0,225.8245839572865,575.6680593490601,0,0,0.0028666985454037786,0.0002,62498,0.6815024500000001,130000
135000,0,225.8792724973154,597.6644005775452,0,0,0.004356452962383628,0.0002,64998,0.6692524500000001,135000
140000,0,226.5624405273775,617.9311966896057,0,0,0.07927499513607472,0.0002,67498,0.65700245,140000
145000,0,226.36916182873185,640.5466134548187,0,0,0.0026823178632184863,0.0002,69998,0.64475245,145000
150000,0,226.2172800475244,663.0793190002441,0,0,0.005247953347861767,0.0002,72498,0.63250245,150000
155000,0,225.58576182251136,687.100102186203,0,0,0.00679597444832325,0.0002,74998,0.62025245,155000
160000,0,225.72368855930242,708.83123087883,0,0,0.006695938296616077,0.0002,77498,0.60800245,160000
165000,0,225.7753012551338,730.815102815628,0,0,0.08016211586073041,0.0002,79998,0.59575245,165000
170000,0,226.34154260193029,751.0773234367371,0,0,0.004772569634951651,0.0002,82498,0.58350245,170000
175000,0,226.3024856619363,773.3012719154358,0,0,0.0064546961802989244,0.0002,84998,0.57125245,175000
180000,0,226.4366486160872,794.9243247509003,0,0,0.08358671749010682,0.0002,87498,0.5590024499999999,180000
185000,0,226.57004681451855,816.524525642395,0,0,0.006382395280525088,0.0002,89998,0.54675245,185000
190000,0,226.92275237209228,837.2893331050873,0,0,0.005392161314375699,0.0002,92498,0.53450245,190000
195000,0,227.0141772964083,858.977189540863,0,0,0.009322412544861436,0.0002,94998,0.5222524499999999,195000
200000,0,227.3883663223695,879.5524733066559,0,0,0.0040821044240146875,0.0002,97498,0.51000245,200000
205000,0,221.65231442437155,924.8719127178192,0,0,0.08148617693223059,0.0002,99998,0.49775245000000023,205000
210000,0,221.78239734866887,946.8740644454956,0,0,0.007641381584107876,0.0002,102498,0.4855024499999999,210000
215000,0,222.25061024062174,967.3764214515686,0,0,0.005361559451557696,0.0002,104998,0.47325245000000016,215000
220000,0,222.5013430397678,988.7580766677856,0,0,0.07836708822287619,0.0002,107498,0.46100244999999984,220000
225000,0,222.69372864612723,1010.3562474250793,0,0,0.08420632313936949,0.0002,109998,0.4487524500000002,225000
230000,0,222.8060892895164,1032.287765264511,0,0,0.08087402582168579,0.0002,112498,0.4365024499999999,230000
235000,0,222.2774303052713,1057.237343788147,0,0,0.006301283137872815,0.0002,114998,0.4242524500000001,235000
240000,0,222.36635205666488,1079.2999830245972,0,0,0.08657034486532211,0.0002,117498,0.41200245000000013,240000
245000,0,222.2378312355305,1102.4225652217865,0,0,0.0835230527445674,0.0002,119998,0.39975245000000015,245000
250000,0,222.24552243406754,1124.8820550441742,0,0,0.011968440376222134,0.0002,122498,0.38750245000000016,250000
255000,0,222.23983452666135,1147.4090616703033,0,0,0.007908245781436563,0.0002,124998,0.37525245000000007,255000
260000,0,221.99948059298558,1171.173911333084,0,0,0.1596427857875824,0.0002,127498,0.3630024500000001,260000
265000,0,221.82994779233042,1194.6087651252747,0,0,0.010250705992802978,0.0002,129998,0.35075245,265000
270000,0,222.06144544169962,1215.8796834945679,0,0,0.007447272539138794,0.0002,132498,0.3385024500000001,270000
275000,0,221.98652373507173,1238.8139395713806,0,0,0.010224341182038188,0.0002,134998,0.32625245000000014,275000
280000,0,222.05790445918933,1260.9323711395264,0,0,0.08180229319259524,0.0002,137498,0.31400245000000004,280000
285000,0,222.22529699173205,1282.4822549819946,0,0,0.0073631214909255505,0.0002,139998,0.30175245000000006,285000
290000,0,222.17958374598683,1305.2504425048828,0,0,0.16124626528471708,0.0002,142498,0.28950244999999997,290000
295000,0,222.35257490251638,1326.7217621803284,0,0,0.008878044784069061,0.0002,144998,0.2772524500000001,295000
300000,0,222.35383858288554,1349.200903892517,0,0,0.007254120893776417,0.0002,147498,0.26500245,300000
305000,0,218.4094127892604,1396.4599606990814,0,0,0.08172295684926212,0.0002,149998,0.25275245,305000
310000,0,218.3730208213728,1419.5892827510834,0,0,0.24104143679141998,0.0002,152498,0.24050244999999992,310000
315000,0,218.5824841023797,1441.1035783290863,0,0,0.006720782723277807,0.0002,154998,0.22825244999999994,315000
320000,0,218.6045000885724,1463.8307988643646,0,0,0.009568383684381843,0.0002,157498,0.2160024500000003,320000
325000,0,218.82232619805893,1485.2232203483582,0,0,0.16958566498942673,0.0002,159998,0.20375244999999997,325000
330000,0,218.9035699533748,1507.5131030082703,0,0,0.24339176435023546,0.0002,162498,0.1915024500000002,330000
335000,0,218.94622663095566,1530.056056022644,0,0,0.009828857146203518,0.0002,164998,0.1792524499999999,335000
340000,0,219.16106568418013,1551.3704450130463,0,0,0.16527940053492785,0.0002,167498,0.16700245000000014,340000
345000,0,219.0895365700977,1574.6986615657806,0,0,0.00582018680870533,0.0002,169998,0.15475244999999993,345000
350000,0,218.96772716965194,1598.4090647697449,0,0,0.16716533340513706,0.0002,172498,0.14250245000000017,350000
355000,0,219.16484786399755,1619.785305261612,0,0,0.09578216727823019,0.0002,174998,0.13025244999999985,355000
360000,0,219.16429660411353,1642.6033143997192,0,0,0.005492523079738021,0.0002,177498,0.11800245000000009,360000
365000,0,219.40381715549944,1663.599133014679,0,0,0.1639849692583084,0.0002,179998,0.10575244999999978,365000
370000,0,219.48691904787822,1685.7496638298035,0,0,0.007309132954105735,0.0002,182498,0.09350245000000024,370000
375000,0,219.51969635752624,1708.2749576568604,0,0,0.08695823233574629,0.0002,184998,0.08125244999999992,375000
380000,0,219.70914067231402,1729.5593566894531,0,0,0.015228481031954288,0.0002,187498,0.06900245000000016,380000
385000,0,219.81256846678878,1751.492203950882,0,0,0.23322197049856186,0.0002,189998,0.056752450000000065,385000
390000,0,219.82711981445468,1774.1214110851288,0,0,0.007811046438291669,0.0002,192498,0.04450245000000008,390000
395000,0,220.03082281927138,1795.2030308246613,0,0,0.01448992220684886,0.0002,194998,0.0322524500000001,395000
400000,0,220.02361081696702,1817.9867084026337,0,0,0.013576317578554153,0.0002,197498,0.020002450000000116,400000
405000,0,217.26882569091404,1864.0502092838287,0,0,0.16663153376430273,0.0002,199998,0.02,405000
410000,0,217.4881403338066,1885.1602637767792,0,0,0.09040292724967003,0.0002,202498,0.02,410000
415000,0,217.5963741175541,1907.2008974552155,0,0,0.15866846591234207,0.0002,204998,0.02,415000
420000,0,217.76579602747708,1928.6775410175323,0,0,0.08232417143881321,0.0002,207498,0.02,420000
425000,0,217.84923178049476,1950.890515089035,0,0,0.0913056330755353,0.0002,209998,0.02,425000
430000,0,217.89786111699559,1973.4016561508179,0,0,0.24130431562662125,0.0002,212498,0.02,430000
435000,0,218.1126514260887,1994.382247686386,0,0,0.15769291622564197,0.0002,214998,0.02,435000
440000,0,218.13323360606705,2017.1158366203308,0,0,0.16873180121183395,0.0002,217498,0.02,440000
445000,0,218.16888308891038,2039.7042589187622,0,0,0.32065021246671677,0.0002,219998,0.02,445000
