timestep,q_value_mean,q_value_std,q_value_max,q_value_min,td_error_mean,td_error_std,loss,exploration_rate,learning_rate,episode_reward_mean,episode_length_mean,success_rate,collision_rate
1000,-0.008260132744908333,0.16700014472007751,0.3286948800086975,-0.24345579743385315,0.3004871606826782,0.17500044405460358,0,0.9968365000000001,0.0002,0,0,0.0,0.0
2000,-0.011444108560681343,0.16779080033302307,0.328230082988739,-0.2439427673816681,0.32023584842681885,0.17516252398490906,0,0.9936698333333334,0.0002,0.483188,2000.0,0.0,0.0
3000,-0.01857186295092106,0.1637214571237564,0.3275187611579895,-0.2577717900276184,0.30422499775886536,0.16944178938865662,0,0.9905031666666667,0.0002,0.483188,2000.0,0.0,0.0
4000,-0.021920273080468178,0.16264592111110687,0.328230082988739,-0.2607479691505432,0.30273115634918213,0.16768181324005127,0,0.9873365000000001,0.0002,-0.044405500000000014,2000.0,0.0,0.0
5000,-0.01409138273447752,0.16285769641399384,0.3478546440601349,-0.2606520354747772,0.31330177187919617,0.16392919421195984,0,0.9841698333333334,0.0002,-0.044405500000000014,2000.0,0.0,0.0
6000,0.3182905614376068,0.035776011645793915,0.40599286556243896,0.22062095999717712,0.010277416557073593,0.00886547937989235,9.846056491369382e-05,0.9810031666666668,0.0002,0.8392793333333333,2000.0,0.0,0.0
7000,0.37711572647094727,0.042700596153736115,0.47791028022766113,0.23435549437999725,0.009830152615904808,0.0095307482406497,8.328181138494983e-05,0.9778365000000001,0.0002,0.8392793333333333,2000.0,0.0,0.0
8000,0.4373967945575714,0.0435655415058136,0.5504845380783081,0.32874608039855957,0.009580951184034348,0.008539448492228985,0.00010096044570673257,0.9746698333333335,0.0002,0.61929525,2000.0,0.0,0.0
9000,0.4995144009590149,0.04657016322016716,0.6174503564834595,0.38635292649269104,0.010324429720640182,0.00921142753213644,8.4195940871723e-05,0.9715031666666667,0.0002,0.61929525,2000.0,0.0,0.0
10000,0.5705927014350891,0.05095561593770981,0.6910173296928406,0.44088214635849,0.010003858245909214,0.009140020236372948,8.959343540482223e-05,0.9683365,0.0002,1.206824,2000.0,0.0,0.0
11000,0.6441539525985718,0.05058710649609566,0.7681168913841248,0.4923858642578125,0.010362270288169384,0.01007044780999422,9.905893966788426e-05,0.9651698333333334,0.0002,1.206824,2000.0,0.0,0.0
12000,0.7172108888626099,0.05149507895112038,0.8380304574966431,0.552749752998352,0.009555906057357788,0.008618318475782871,0.00010184958227910101,0.9620031666666667,0.0002,1.3459523333333332,2000.0,0.0,0.0
13000,0.7764366269111633,0.05632344260811806,0.9075756072998047,0.6073145270347595,0.009780564345419407,0.008448469452559948,6.630589632550254e-05,0.9588365000000001,0.0002,1.3459523333333332,2000.0,0.0,0.0
14000,0.8282781839370728,0.06488903611898422,0.9737210273742676,0.6137490272521973,0.010426890105009079,0.009634803049266338,0.00012597085151355714,0.9556698333333333,0.0002,1.3974725714285714,2000.0,0.0,0.0
