timestep,q_value_mean,q_value_std,q_value_max,q_value_min,td_error_mean,td_error_std,buffer_size,exploration_rate,learning_rate,loss
1000,-0.03740403801202774,0.06043396145105362,0.06823684275150299,-0.12855561077594757,0.20080406963825226,0.07213074713945389,999,0.9987762250000001,0.0002,0.0
2000,-0.03712499141693115,0.061028700321912766,0.06788162887096405,-0.13096658885478973,0.19367074966430664,0.06557992100715637,1999,0.9975512249999999,0.0002,0.0
3000,-0.035406701266765594,0.06213853880763054,0.10015329718589783,-0.1607043445110321,0.18808570504188538,0.07342267036437988,2999,0.996326225,0.0002,0.0
4000,-0.035660892724990845,0.06225375086069107,0.08647000044584274,-0.13212737441062927,0.2071281373500824,0.0725608617067337,3999,0.9951012249999999,0.0002,0.0
5000,-0.035414665937423706,0.061548780649900436,0.08099566400051117,-0.1401030719280243,0.2026394009590149,0.06801889836788177,4999,0.9938762250000001,0.0002,0.0
6000,0.2903711497783661,0.026946306228637695,0.3326854705810547,0.13985899090766907,0.013111895881593227,0.021402355283498764,5999,0.9926512249999999,0.0002,0.00033962346060434356
7000,0.544447124004364,0.03599236533045769,0.603582501411438,0.2938166558742523,0.014855963177978992,0.027703864499926567,6999,0.991426225,0.0002,0.00029707532667089254
8000,0.7957745790481567,0.047665126621723175,0.8650634288787842,0.5713335871696472,0.013474909588694572,0.02138548158109188,7999,0.9902012249999999,0.0002,0.0002841432869900018
9000,1.0369278192520142,0.08223078399896622,1.124873399734497,0.510993242263794,0.01917802169919014,0.03045111522078514,8999,0.988976225,0.0002,0.00030640606564702466
10000,1.3033298254013062,0.08203332126140594,1.3921113014221191,0.5785317420959473,0.011101873591542244,0.01904405653476715,9999,0.9877512249999999,0.0002,0.0003775942896027118
11000,1.5465911626815796,0.11298289895057678,1.6437591314315796,0.7790843844413757,0.009045920334756374,0.015935085713863373,10999,0.986526225,0.0002,0.00024489480711054057
12000,1.7965147495269775,0.10103659331798553,1.9010752439498901,0.678676187992096,0.010993685573339462,0.018756944686174393,11999,0.9853012249999998,0.0002,0.0002554949023760855
13000,2.0172390937805176,0.14051343500614166,2.157883882522583,1.0360527038574219,0.016074389219284058,0.03356945514678955,12999,0.984076225,0.0002,0.00025867961812764406
14000,2.2850747108459473,0.13788112998008728,2.434692621231079,1.2028101682662964,0.01941526308655739,0.02784683369100094,13999,0.9828512249999999,0.0002,0.0009956224239431322
15000,2.513998508453369,0.16083043813705444,2.6819887161254883,1.2981191873550415,0.014583886601030827,0.022549156099557877,14999,0.9816262250000001,0.0002,0.0006785791338188574
16000,2.7070040702819824,0.2171952873468399,2.8811542987823486,1.2282358407974243,0.02230704203248024,0.036121319979429245,15999,0.9804012249999999,0.0002,0.0006313202029559761
17000,2.902306318283081,0.166700080037117,3.077364683151245,1.7307837009429932,0.020754395052790642,0.03839808329939842,16999,0.979176225,0.0002,0.0004102957173017785
18000,3.130317211151123,0.12262742221355438,3.27595591545105,2.3931050300598145,0.01993373967707157,0.040449824184179306,17999,0.9779512249999999,0.0002,0.000516446481924504
19000,3.333704948425293,0.09217716008424759,3.4687201976776123,2.8819961547851562,0.015636010095477104,0.027847666293382645,18999,0.9767262250000001,0.0002,0.0007350163068622351
20000,3.5172181129455566,0.15089285373687744,3.659717082977295,2.335350513458252,0.01722228154540062,0.025047961622476578,19999,0.9755012249999999,0.0002,0.0005248513261904009
21000,3.703535318374634,0.13888749480247498,3.849468469619751,2.5424985885620117,0.014859771355986595,0.027380600571632385,20999,0.974276225,0.0002,0.0007088791608111933
22000,3.897801637649536,0.14961691200733185,4.0772504806518555,3.0704891681671143,0.01870630867779255,0.02916914038360119,21999,0.9730512249999999,0.0002,0.0003523341874824837
23000,4.120012283325195,0.10720504820346832,4.276996612548828,3.435441017150879,0.011630425229668617,0.018747683614492416,22999,0.971826225,0.0002,0.000356357530108653
24000,4.29345703125,0.14881987869739532,4.478271484375,3.0168023109436035,0.020134268328547478,0.03315151110291481,23999,0.9706012249999999,0.0002,0.0022121992660686374
25000,4.426695346832275,0.1899207979440689,4.656426429748535,3.0152604579925537,0.01814449578523636,0.025292932987213135,24999,0.969376225,0.0002,0.0009031775989569724
26000,4.617427349090576,0.16668960452079773,4.83740758895874,3.6653714179992676,0.023298919200897217,0.039311882108449936,25999,0.9681512249999998,0.0002,0.0008549386402592063
27000,4.814220428466797,0.202141672372818,5.031026363372803,3.843102216720581,0.020162763074040413,0.03463713079690933,26999,0.966926225,0.0002,0.0007583680562674999
28000,4.993697643280029,0.16942673921585083,5.207619667053223,3.5548295974731445,0.02327919565141201,0.05200563371181488,27999,0.9657012249999999,0.0002,0.0005212707619648427
29000,5.137132167816162,0.18877506256103516,5.37550163269043,3.868147611618042,0.02529885806143284,0.03391672298312187,28999,0.964476225,0.0002,0.0006297788058873266
30000,5.310633182525635,0.19052833318710327,5.5662641525268555,4.131231307983398,0.01389070600271225,0.02432171441614628,29999,0.9632512249999998,0.0002,0.00083852608804591
31000,5.424158573150635,0.21214167773723602,5.737198352813721,4.543618202209473,0.02158254384994507,0.03508424013853073,30999,0.962026225,0.0002,0.0014209554065018892
32000,5.6037116050720215,0.22852234542369843,5.943000793457031,4.621277332305908,0.026247166097164154,0.05309643968939781,31999,0.9608012250000001,0.0002,0.00191959593212232
33000,5.765984058380127,0.23592008650302887,6.108616828918457,4.157721519470215,0.02883884683251381,0.07279413938522339,32999,0.959576225,0.0002,0.0005949192855041474
