timestep,q_value_mean,q_value_std,q_value_max,q_value_min,td_error_mean,td_error_std,buffer_size,exploration_rate,learning_rate,loss
1000,-0.041646286845207214,0.07813621312379837,0.10474217683076859,-0.16066405177116394,0.1369103491306305,0.07147613912820816,999,0.99755245,0.0002,0.0
2000,-0.042959026992321014,0.07897336781024933,0.10474184155464172,-0.1590893566608429,0.13226762413978577,0.0743943378329277,1999,0.9951024500000001,0.0002,0.0
3000,-0.04149998351931572,0.07772395759820938,0.10474184155464172,-0.17303507030010223,0.1305452436208725,0.07654903084039688,2999,0.99265245,0.0002,0.0
4000,-0.042228613048791885,0.07714594155550003,0.0994701236486435,-0.16401956975460052,0.12299821525812149,0.08203813433647156,3999,0.9902024500000001,0.0002,0.0
5000,-0.041917745023965836,0.0770391896367073,0.10570759326219559,-0.17409829795360565,0.13208501040935516,0.08103734999895096,4999,0.9877524500000001,0.0002,0.0
6000,0.1222466304898262,0.027361389249563217,0.18604892492294312,0.05767505615949631,0.7965393662452698,8.893566131591797,5999,0.98530245,0.0002,6.085103450459428e-05
7000,0.20763720571994781,0.029118504375219345,0.2737477421760559,0.11154196411371231,0.005539124831557274,0.007287309970706701,6999,0.9828524500000001,0.0002,2.5178518626489677e-05
8000,0.2856653332710266,0.03379666432738304,0.35938888788223267,0.16330254077911377,0.0073021105490624905,0.01086254883557558,7999,0.98040245,0.0002,3.6589470255421475e-05
9000,0.3696957230567932,0.03209266439080238,0.4499356150627136,0.2575535178184509,0.005941345822066069,0.009231924079358578,8999,0.9779524500000001,0.0002,3.107122211076785e-05
10000,0.45241039991378784,0.036357488483190536,0.5338925123214722,0.32633328437805176,0.004677096847444773,0.005781167186796665,9999,0.97550245,0.0002,2.770169339783024e-05
11000,0.5342733263969421,0.03767075389623642,0.6196365356445312,0.3925611972808838,0.005352969281375408,0.007159757427871227,10999,0.9730524500000001,0.0002,2.871181095542852e-05
12000,0.619073748588562,0.03695018216967583,0.710346519947052,0.49504876136779785,0.00467025488615036,0.006024388130754232,11999,0.97060245,0.0002,2.5545233256707434e-05
13000,0.7010451555252075,0.0361989326775074,0.7957380414009094,0.5810955762863159,0.006996990647166967,0.010082037188112736,12999,0.96815245,0.0002,4.0106684537022375e-05
14000,0.7681587338447571,0.0395747572183609,0.9054578542709351,0.5635643005371094,0.008768375962972641,0.011748204007744789,13999,0.96570245,0.0002,4.9585105443838984e-05
15000,0.8424084782600403,0.038320403546094894,0.9655048251152039,0.7063512206077576,0.007627643644809723,0.010551313869655132,14999,0.96325245,0.0002,5.9915368183283135e-05
16000,0.897250771522522,0.04339447617530823,1.0344250202178955,0.6574854254722595,0.009901901707053185,0.011673926375806332,15999,0.9608024500000001,0.0002,8.851242091623135e-05
17000,0.9632918834686279,0.04569360986351967,1.0814648866653442,0.7527464628219604,0.008808230049908161,0.009797542355954647,16999,0.95835245,0.0002,6.802523421356454e-05
18000,1.0320217609405518,0.04930941015481949,1.163930892944336,0.8916714787483215,0.006875365506857634,0.009291773661971092,17999,0.9559024500000001,0.0002,3.9383583498420194e-05
19000,1.0837558507919312,0.05400809645652771,1.2322144508361816,0.9007221460342407,0.007677922025322914,0.0128464475274086,18999,0.95345245,0.0002,5.483724635269027e-05
20000,1.1501823663711548,0.059917960315942764,1.304011583328247,0.985759973526001,0.005971674807369709,0.008469992317259312,19999,0.95100245,0.0002,5.441293615149334e-05
21000,1.2091057300567627,0.05712774395942688,1.3643255233764648,1.0626593828201294,0.006065478548407555,0.00908593274652958,20999,0.94855245,0.0002,3.632054176705424e-05
22000,1.2625831365585327,0.06226322427392006,1.4400874376296997,1.0181711912155151,0.00621528085321188,0.009957925416529179,21999,0.94610245,0.0002,4.578538209898397e-05
23000,1.3350872993469238,0.06012124940752983,1.5055179595947266,1.1728315353393555,0.006176689639687538,0.009288866072893143,22999,0.94365245,0.0002,5.904176759941038e-05
24000,1.3946882486343384,0.06767667829990387,1.581101655960083,1.222005009651184,0.006508762016892433,0.009174882434308529,23999,0.94120245,0.0002,4.201038791507017e-05
25000,1.4514023065567017,0.06931557506322861,1.6556397676467896,1.241356611251831,0.00587767269462347,0.007947311736643314,24999,0.9387524500000001,0.0002,4.329372222855454e-05
26000,1.500972032546997,0.07206112146377563,1.7251297235488892,1.3215769529342651,0.007755243219435215,0.011401480063796043,25999,0.93630245,0.0002,5.835152114741504e-05
27000,1.5561105012893677,0.07086819410324097,1.7715413570404053,1.3682883977890015,0.006965894252061844,0.011790170334279537,26999,0.9338524500000001,0.0002,9.42635306273587e-05
28000,1.6100823879241943,0.08181876689195633,1.864794135093689,1.397650957107544,0.007866193540394306,0.010047251358628273,27999,0.93140245,0.0002,6.153031972644385e-05
29000,1.652818202972412,0.081627257168293,1.9238684177398682,1.4500895738601685,0.009492777287960052,0.013636065647006035,28999,0.92895245,0.0002,6.833010047557764e-05
30000,1.7254222631454468,0.09677418321371078,2.0012686252593994,1.4846500158309937,0.008524776436388493,0.01513559091836214,29999,0.92650245,0.0002,7.208956958493218e-05
31000,1.769896149635315,0.09152527898550034,2.0679097175598145,1.5350641012191772,0.008607447147369385,0.012587256729602814,30999,0.92405245,0.0002,6.940873572602868e-05
32000,1.8271374702453613,0.10883632302284241,2.1166832447052,1.5825610160827637,0.008851111866533756,0.015877526253461838,31999,0.92160245,0.0002,6.535984539368656e-05
33000,1.8866621255874634,0.08397461473941803,2.105894088745117,1.6428099870681763,0.007296176627278328,0.011858639307320118,32999,0.91915245,0.0002,6.321764340100344e-05
34000,1.9196417331695557,0.10730493068695068,2.2055654525756836,1.4901131391525269,0.010237895883619785,0.020139336585998535,33999,0.9167024500000001,0.0002,9.836645767791197e-05
35000,1.9816160202026367,0.10793973505496979,2.270911931991577,1.717403531074524,0.008141952566802502,0.015218008309602737,34999,0.91425245,0.0002,4.937443554808851e-05
36000,2.023183822631836,0.09946919232606888,2.2773537635803223,1.7812583446502686,0.007625136524438858,0.011516287922859192,35999,0.91180245,0.0002,0.0001130672862927895
37000,2.0773322582244873,0.10297558456659317,2.339566230773926,1.735957384109497,0.00798740517348051,0.011361751705408096,36999,0.90935245,0.0002,0.00010055147504317574
38000,2.1126058101654053,0.10248177498579025,2.3981571197509766,1.8134955167770386,0.008324550464749336,0.012413742952048779,37999,0.90690245,0.0002,7.756678496662062e-05
39000,2.156294584274292,0.10871534794569016,2.4109575748443604,1.621192455291748,0.008935664780437946,0.012220598757266998,38999,0.90445245,0.0002,0.00011432919927756302
40000,2.209606170654297,0.10466727614402771,2.477496862411499,1.9533475637435913,0.008532975800335407,0.0105480020865798,39999,0.90200245,0.0002,9.667805352364667e-05
41000,2.2391650676727295,0.09994390606880188,2.470632314682007,1.9565181732177734,0.008480490185320377,0.011559753678739071,40999,0.89955245,0.0002,8.007092765183188e-05
42000,2.278491973876953,0.08975593745708466,2.515875816345215,1.9781620502471924,0.16790670156478882,1.7736448049545288,41999,0.89710245,0.0002,0.00010240972915198654
43000,2.3110365867614746,0.1018378958106041,2.57975697517395,1.9304380416870117,0.007991661317646503,0.011446259915828705,42999,0.8946524499999999,0.0002,9.042071178555489e-05
44000,2.356874465942383,0.10206103324890137,2.617388963699341,1.908096194267273,0.009180862456560135,0.012072702869772911,43999,0.89220245,0.0002,0.07661263444606448
45000,2.4045982360839844,0.08665558695793152,2.6284828186035156,2.0988986492156982,0.010111009702086449,0.013410196639597416,44999,0.88975245,0.0002,0.4010211731947493
46000,2.4406213760375977,0.09149377793073654,2.6542787551879883,2.1092143058776855,0.01652582362294197,0.01426119264215231,45999,0.88730245,0.0002,0.00021129857486812398
47000,2.4715323448181152,0.09405249357223511,2.7714121341705322,2.1215126514434814,0.007963968440890312,0.01254319492727518,46999,0.88485245,0.0002,9.520574531052262e-05
48000,2.524611473083496,0.10358698666095734,2.9734127521514893,2.1914446353912354,0.008645068854093552,0.012429799884557724,47999,0.88240245,0.0002,0.00024019512784434482
49000,2.562302350997925,0.08927124738693237,2.807760715484619,2.2403388023376465,0.009317200630903244,0.013044406659901142,48999,0.87995245,0.0002,8.626931958133355e-05
50000,2.5814332962036133,0.11980661004781723,2.9890918731689453,1.863897442817688,0.011444013565778732,0.020474327728152275,49999,0.8775024499999999,0.0002,0.00012698538193944842
51000,2.6140334606170654,0.09164328873157501,2.9038593769073486,2.3314108848571777,0.01276538148522377,0.022119594737887383,50999,0.87505245,0.0002,0.0003178935730829835
52000,2.644041061401367,0.09724917262792587,2.939403533935547,2.249790668487549,0.01466410607099533,0.019833972677588463,51999,0.87260245,0.0002,0.00014701217878609896
53000,2.6772220134735107,0.1401434987783432,3.073910713195801,2.1609067916870117,0.011971581727266312,0.016487009823322296,52999,0.87015245,0.0002,0.00013419953029369935
54000,2.725027561187744,0.11540830135345459,3.0212907791137695,2.3340823650360107,0.011346455663442612,0.01807801052927971,53999,0.8677024499999999,0.0002,0.00011862223618663847
55000,2.7715210914611816,0.1266525387763977,3.0993459224700928,2.3270606994628906,0.017343983054161072,0.017287947237491608,54999,0.86525245,0.0002,0.07597932421776932
56000,2.812302589416504,0.11903795599937439,3.1176369190216064,2.3944590091705322,0.012981155887246132,0.020279020071029663,55999,0.86280245,0.0002,0.07612417150812689
57000,2.872326135635376,0.11337910592556,3.295238733291626,2.553771734237671,0.01053883321583271,0.015028498135507107,56999,0.8603524499999999,0.0002,0.0002559218992246315
58000,2.877349376678467,0.1074504479765892,3.152282953262329,2.5334551334381104,0.01137184351682663,0.013567572459578514,57999,0.85790245,0.0002,0.07584118820523145
59000,2.9298441410064697,0.12820914387702942,3.233924388885498,1.9924296140670776,0.009323923848569393,0.014833545312285423,58999,0.8554524499999999,0.0002,8.177690324373543e-05
60000,2.942328453063965,0.1161663606762886,3.2932422161102295,2.4362356662750244,0.011230207979679108,0.0179568100720644,59999,0.85300245,0.0002,0.0001538996111776214
61000,2.9856410026550293,0.14201784133911133,3.3068439960479736,2.524326801300049,0.010952627286314964,0.017361529171466827,60999,0.8505524499999999,0.0002,0.0001530499466753099
62000,3.0177910327911377,0.11627575755119324,3.3864545822143555,2.6926651000976562,0.009637273848056793,0.014674977399408817,61999,0.84810245,0.0002,9.43562263273634e-05
63000,3.0200839042663574,0.16952969133853912,3.3964667320251465,2.3541736602783203,0.010030735284090042,0.015883201733231544,62999,0.84565245,0.0002,0.0001331936800852418
64000,3.0840158462524414,0.1278092861175537,3.503718137741089,2.402390718460083,0.008999371901154518,0.012053990736603737,63999,0.8432024499999999,0.0002,0.0002545276438468136
65000,3.0776357650756836,0.17323508858680725,3.455117702484131,2.4169247150421143,0.017685333266854286,0.022230105474591255,64999,0.84075245,0.0002,0.00017503811250207946
66000,3.1260621547698975,0.14278119802474976,3.5729598999023438,2.528606414794922,0.009001657366752625,0.012361254543066025,65999,0.8383024499999999,0.0002,0.07564742048271
67000,3.1443896293640137,0.18303874135017395,3.6004974842071533,2.291795492172241,0.016042537987232208,0.021856039762496948,66999,0.83585245,0.0002,0.07589196742628701
68000,3.180727958679199,0.1747443974018097,3.5737929344177246,2.4279096126556396,0.00938376598060131,0.014542261138558388,67999,0.8334024499999999,0.0002,0.0002779596470645629
69000,3.191676139831543,0.22022473812103271,3.660684585571289,2.4172515869140625,0.013918403536081314,0.026524582877755165,68999,0.83095245,0.0002,0.0002470765612088144
70000,3.1610944271087646,0.19532498717308044,3.5829973220825195,2.289515256881714,0.16842852532863617,1.7942508459091187,69999,0.8285024499999999,0.0002,0.00023655158292967826
71000,3.2308743000030518,0.18699076771736145,3.612802743911743,2.443253993988037,0.01317383348941803,0.019875584170222282,70999,0.8260524499999999,0.0002,0.00025557426852174103
72000,3.2568087577819824,0.19355559349060059,3.70820951461792,2.2422893047332764,0.012819837778806686,0.027373971417546272,71999,0.8236024499999999,0.0002,0.000544005393749103
73000,3.2844724655151367,0.1954723298549652,3.7783584594726562,2.5284438133239746,0.01572781428694725,0.02257755771279335,72999,0.8211524499999999,0.0002,0.0001943055758601986
74000,3.2881405353546143,0.21670353412628174,3.7511143684387207,2.3585383892059326,0.017543915659189224,0.028722045943140984,73999,0.81870245,0.0002,0.00043217082566116005
75000,3.356541633605957,0.1866883486509323,3.8325440883636475,2.420703887939453,0.010758455842733383,0.016766460612416267,74999,0.8162524499999999,0.0002,0.07535802070196951
76000,3.3764567375183105,0.1796562820672989,4.00069522857666,2.820509672164917,0.015095314010977745,0.01923093944787979,75999,0.81380245,0.0002,0.0767345766798826
77000,3.37253475189209,0.21708767116069794,3.8380651473999023,2.3569271564483643,0.015580885112285614,0.019282184541225433,76999,0.8113524499999999,0.0002,0.0002544107264839113
78000,3.395158529281616,0.2113795429468155,3.9228782653808594,2.4207589626312256,0.17020870745182037,1.789515733718872,77999,0.8089024499999999,0.0002,0.00031417068385053426
79000,3.4272310733795166,0.24559053778648376,3.9598915576934814,2.423614501953125,0.014873960986733437,0.020776856690645218,78999,0.8064524499999999,0.0002,0.00044620218250202015
80000,3.473505735397339,0.20791907608509064,3.934797763824463,2.6971144676208496,0.015541335567831993,0.031870774924755096,79999,0.8040024499999999,0.0002,0.00019017224258277565
81000,3.4769082069396973,0.21931928396224976,3.94095516204834,2.5173652172088623,0.011063506826758385,0.017649609595537186,80999,0.80155245,0.0002,0.00020265688362997025
82000,3.5352535247802734,0.22759784758090973,4.093008518218994,2.6371679306030273,0.013644058257341385,0.02763129025697708,81999,0.7991024499999999,0.0002,0.0002830405574059114
83000,3.5291619300842285,0.23008258640766144,4.037050724029541,2.332195520401001,0.010844388976693153,0.017083531245589256,82999,0.7966524499999998,0.0002,0.00021376030781539157
84000,3.580010175704956,0.18759748339653015,4.024796485900879,2.9804718494415283,0.01147950068116188,0.01641162484884262,83999,0.7942024499999999,0.0002,0.00027235961351834703
85000,3.5789475440979004,0.2033187299966812,4.092366695404053,2.4998950958251953,0.01408434845507145,0.03230733796954155,84999,0.7917524499999999,0.0002,0.00026773706485982984
86000,3.6058475971221924,0.2404257208108902,4.190697193145752,2.671309232711792,0.012490905821323395,0.018583156168460846,85999,0.7893024499999999,0.0002,0.0001841177072492428
87000,3.6825995445251465,0.23433074355125427,4.190248489379883,2.6200995445251465,0.1725129783153534,1.7743325233459473,86999,0.7868524499999999,0.0002,0.0003123049536952749
88000,3.5867278575897217,0.26220783591270447,4.172355651855469,2.536442279815674,0.016626890748739243,0.037021324038505554,87999,0.7844024500000002,0.0002,0.0004097739147255197
89000,3.681464672088623,0.2535896301269531,4.323666572570801,2.559980869293213,0.011272743344306946,0.01701938360929489,88999,0.7819524499999999,0.0002,0.0003380783018656075
90000,3.708967685699463,0.20450054109096527,4.229885578155518,2.756901741027832,0.020783014595508575,0.04383191093802452,89999,0.7795024500000002,0.0002,0.00025613281468395144
91000,3.7262656688690186,0.21439173817634583,4.249992370605469,2.9366166591644287,0.018639614805579185,0.03069024719297886,90999,0.7770524499999999,0.0002,0.07855368038872257
92000,3.6903064250946045,0.25795599818229675,4.2316670417785645,2.593475580215454,0.0248260535299778,0.022652050480246544,91999,0.7746024500000002,0.0002,0.0003386008320376277
93000,3.7720110416412354,0.21421189606189728,4.3283796310424805,3.1104342937469482,0.01567266322672367,0.025666391476988792,92999,0.7721524499999999,0.0002,0.0009310271998401731
94000,3.778088092803955,0.2627643346786499,4.354465961456299,2.746229648590088,0.016118623316287994,0.023369474336504936,93999,0.7697024500000001,0.0002,0.0008743643556954339
95000,3.8182079792022705,0.2609468698501587,4.346848011016846,2.5119194984436035,0.019029000774025917,0.038461487740278244,94999,0.7672524499999999,0.0002,0.0002927626919699833
96000,3.8423011302948,0.25808703899383545,4.506605625152588,2.762134552001953,0.019005415961146355,0.05962863191962242,95999,0.7648024500000001,0.0002,0.0003289976593805477
97000,3.8841898441314697,0.29295581579208374,4.534813404083252,2.6635384559631348,0.013954505324363708,0.0220506452023983,96999,0.7623524499999998,0.0002,0.0002893945202231407
98000,3.8932933807373047,0.2548772096633911,4.629593849182129,2.7804229259490967,0.026599161326885223,0.03597136214375496,97999,0.7599024500000001,0.0002,0.000495021915412508
99000,3.927628755569458,0.24780982732772827,4.493995666503906,3.0880556106567383,0.017234474420547485,0.030697278678417206,98999,0.7574524499999999,0.0002,0.07603800935612526
100000,3.982753276824951,0.23877307772636414,4.611040115356445,3.438439130783081,0.011921137571334839,0.016315124928951263,99999,0.7550024500000001,0.0002,0.07693250777083449
101000,3.9539647102355957,0.24686676263809204,4.544121742248535,2.7823293209075928,0.01700441911816597,0.020452124997973442,100999,0.7525524499999998,0.0002,0.07581385580124334
102000,4.004810810089111,0.26395830512046814,4.69907283782959,2.6923024654388428,0.01938554458320141,0.02298143319785595,101999,0.7501024500000001,0.0002,0.0003249861329095438
103000,4.05204963684082,0.2930310070514679,4.7435078620910645,2.9171547889709473,0.017503999173641205,0.019077477976679802,102999,0.7476524500000001,0.0002,0.47844181180698797
104000,4.085332870483398,0.2917420566082001,4.683530807495117,2.9204771518707275,0.01662791520357132,0.023871861398220062,103999,0.7452024500000001,0.0002,0.07726765367260668
105000,4.103550434112549,0.26593121886253357,4.898623466491699,3.0133538246154785,0.023116370663046837,0.049543458968400955,104999,0.7427524500000001,0.0002,0.0012119404564145952
106000,4.114171028137207,0.30598118901252747,4.7468767166137695,3.020623207092285,0.016376355662941933,0.023102976381778717,105999,0.7403024500000002,0.0002,0.1515694698318839
107000,4.109797954559326,0.27519363164901733,4.74572229385376,3.0206637382507324,0.015886368229985237,0.024296171963214874,106999,0.7378524500000001,0.0002,0.07620824172045104
108000,4.170637130737305,0.28503960371017456,4.925478458404541,3.3070948123931885,0.02319757081568241,0.030083291232585907,107999,0.7354024500000002,0.0002,0.0002834668994182721
109000,4.192986965179443,0.35374927520751953,4.989628314971924,2.911616802215576,0.17947587370872498,1.740875005722046,108999,0.7329524500000002,0.0002,0.00046639793436042964
