timestep,episode,fps,elapsed_time,ep_len_mean,ep_rew_mean,train/loss,train/learning_rate,train/n_updates,rollout/exploration_rate,time/total_timesteps
5000,0,243.03837087971172,20.572883129119873,0,0,0,0,0,0.9877524500000001,5000
10000,0,247.46355116943158,40.40999150276184,0,0,2.770169339783024e-05,0.0002,2498,0.97550245,10000
15000,0,249.94109469125215,60.014140605926514,0,0,5.9915368183283135e-05,0.0002,4998,0.96325245,15000
20000,0,251.1293204658903,79.64024257659912,0,0,5.441293615149334e-05,0.0002,7498,0.95100245,20000
25000,0,251.51268457918033,99.3985652923584,0,0,4.329372222855454e-05,0.0002,9998,0.9387524500000001,25000
30000,0,251.90984553844504,119.09022426605225,0,0,7.208956958493218e-05,0.0002,12498,0.92650245,30000
35000,0,252.25079152361994,138.75080347061157,0,0,4.937443554808851e-05,0.0002,14998,0.91425245,35000
40000,0,252.32454927391257,158.5259940624237,0,0,9.667805352364667e-05,0.0002,17498,0.90200245,40000
45000,0,252.15684317437365,178.46035599708557,0,0,0.4010211731947493,0.0002,19998,0.88975245,45000
50000,0,252.23514657718405,198.22772789001465,0,0,0.00012698538193944842,0.0002,22498,0.8775024499999999,50000
55000,0,251.83034103821487,218.4010066986084,0,0,0.07597932421776932,0.0002,24998,0.86525245,55000
60000,0,251.28214751750343,238.77541875839233,0,0,0.0001538996111776214,0.0002,27498,0.85300245,60000
65000,0,250.63259389595774,259.34376287460327,0,0,0.00017503811250207946,0.0002,29998,0.84075245,65000
70000,0,250.74298811777373,279.1703190803528,0,0,0.00023655158292967826,0.0002,32498,0.8285024499999999,70000
75000,0,250.644656669285,299.2284016609192,0,0,0.07535802070196951,0.0002,34998,0.8162524499999999,75000
80000,0,250.73610637983427,319.0605499744415,0,0,0.00019017224258277565,0.0002,37498,0.8040024499999999,80000
85000,0,250.68580457749366,339.0698573589325,0,0,0.00026773706485982984,0.0002,39998,0.7917524499999999,85000
90000,0,250.4937513286567,359.2903995513916,0,0,0.00025613281468395144,0.0002,42498,0.7795024500000002,90000
95000,0,250.51051909520982,379.22559237480164,0,0,0.0002927626919699833,0.0002,44998,0.7672524499999999,95000
100000,0,250.55481668182952,399.1142590045929,0,0,0.07693250777083449,0.0002,47498,0.7550024500000001,100000
105000,0,241.27286118326305,435.19192123413086,0,0,0.0012119404564145952,0.0002,49998,0.7427524500000001,105000
110000,0,241.60835268656166,455.2822730541229,0,0,0.0018575123540358618,0.0002,52498,0.7305024500000001,110000
115000,0,241.65026256220392,475.89437222480774,0,0,0.0025459036114625633,0.0002,54998,0.7182524500000002,115000
120000,0,241.59317514993563,496.70277285575867,0,0,0.07812803640263155,0.0002,57498,0.7060024500000002,120000
125000,0,241.56584977212358,517.4572486877441,0,0,0.07833640853641555,0.0002,59998,0.6937524500000001,125000
130000,0,241.5997367803865,538.0800564289093,0,0,0.0014102898421697319,0.0002,62498,0.6815024500000001,130000
135000,0,241.565618063159,558.8543646335602,0,0,0.15309688658453524,0.0002,64998,0.6692524500000001,135000
140000,0,241.5457415401986,579.6003651618958,0,0,0.07893038401380181,0.0002,67498,0.65700245,140000
145000,0,241.80248709156638,599.6629800796509,0,0,0.003388796525541693,0.0002,69998,0.64475245,145000
150000,0,242.0790212022339,619.6323797702789,0,0,0.003807784931268543,0.0002,72498,0.63250245,150000
155000,0,242.2510440551282,639.8321237564087,0,0,0.0005962300056125969,0.0002,74998,0.62025245,155000
160000,0,242.4057153232058,660.0504438877106,0,0,0.0005599887517746538,0.0002,77498,0.60800245,160000
165000,0,242.52047819704873,680.3549177646637,0,0,0.0005494151555467397,0.0002,79998,0.59575245,165000
170000,0,242.52393055445938,700.9617550373077,0,0,0.004910285766527522,0.0002,82498,0.58350245,170000
